DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,AT,2022,4.8,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,BE,2022,5.6,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,BG,2022,4.3,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,CH,2022,4.3,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,CY,2022,6.8,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,CZ,2022,2.3,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,DE,2022,3.0,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,DK,2022,4.5,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,EA19,2022,6.7,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,EA20,2022,6.7,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,EE,2022,5.6,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,EL,2022,12.5,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,ES,2022,12.9,d
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,EU27_2020,2022,6.1,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,FI,2022,6.8,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,FR,2022,7.3,d
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,HR,2022,7.0,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,HU,2022,3.6,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,IE,2022,4.5,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,IS,2022,3.8,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,IT,2022,8.1,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,LT,2022,6.0,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,LU,2022,4.6,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,LV,2022,6.9,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,MT,2022,2.9,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,NL,2022,3.5,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,NO,2022,3.2,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,PL,2022,2.9,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,PT,2022,6.0,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,RO,2022,5.6,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,RS,2022,9.4,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,SE,2022,7.5,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,SI,2022,4.0,
ESTAT:TPS00203(1.0),16/03/23 23:00:00,A,Y15-74,PC_ACT,T,SK,2022,6.1,
