DATAFLOW,LAST UPDATE,freq,sectperf,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RD_E_GERDTOT(1.0),29/03/23 23:00:00,A,BES,PC_GDP,AT,2012,2.05,e
ESTAT:RD_E_GERDTOT(1.0),29/03/23 23:00:00,A,BES,PC_GDP,AT,2013,2.09,
ESTAT:RD_E_GERDTOT(1.0),29/03/23 23:00:00,A,BES,PC_GDP,AT,2014,2.2,e
ESTAT:RD_E_GERDTOT(1.0),29/03/23 23:00:00,A,BES,PC_GDP,AT,2015,2.18,
ESTAT:RD_E_GERDTOT(1.0),29/03/23 23:00:00,A,BES,PC_GDP,AT,2016,2.19,e
ESTAT:RD_E_GERDTOT(1.0),29/03/23 23:00:00,A,BES,PC_GDP,AT,2017,2.14,
ESTAT:RD_E_GERDTOT(1.0),29/03/23 23:00:00,A,BES,PC_GDP,AT,2018,2.16,e
ESTAT:RD_E_GERDTOT(1.0),29/03/23 23:00:00,A,BES,PC_GDP,AT,2019,2.2,
ESTAT:RD_E_GERDTOT(1.0),29/03/23 23:00:00,A,BES,PC_GDP,AT,2020,2.23,e
ESTAT:RD_E_GERDTOT(1.0),29/03/23 23:00:00,A,BES,PC_GDP,AT,2021,2.22,e
ESTAT:RD_E_GERDTOT(1.0),29/03/23 23:00:00,A,BES,PC_GDP,BA,2012,0.16,
ESTAT:RD_E_GERDTOT(1.0),29/03/23 23:00:00,A,BES,PC_GDP,BA,2013,0.19,
ESTAT:RD_E_GERDTOT(1.0),29/03/23 23:00:00,A,BES,PC_GDP,BA,2014,0.05,
ESTAT:RD_E_GERDTOT(1.0),29/03/23 23:00:00,A,BES,PC_GDP,BA,2019,0.07,
ESTAT:RD_E_GERDTOT(1.0),29/03/23 23:00:00,A,BES,PC_GDP,BA,2020,0.08,
ESTAT:RD_E_GERDTOT(1.0),29/03/23 23:00:00,A,BES,PC_GDP,BE,2012,1.59,
ESTAT:RD_E_GERDTOT(1.0),29/03/23 23:00:00,A,BES,PC_GDP,BE,2013,1.62,
ESTAT:RD_E_GERDTOT(1.0),29/03/23 23:00:00,A,BES,PC_GDP,BE,2014,1.66,
ESTAT:RD_E_GERDTOT(1.0),29/03/23 23:00:00,A,BES,PC_GDP,BE,2015,1.7,
